Agent,Username,Case Deposit,Deposit Amount,Case Withdraw,Withdraw Amount,Month
STMY,jamtik200J,16,785,5,925,February
STMY,aom32D,5,290,1,150,February
STMY,zaiii191J,1,30,0,0,February
STMY,kumm339J,1,50,0,0,February
STMY,nothing55J,3,90,0,0,February
STMY,FDETO51,3,400,0,0,February
STMY,andaiii977J,3,150,0,0,February
STMY,kopi364YN,6,240,0,0,February
STMY,TATTO29,16,1760,3,1366,February
STMY,bisa844YN,3,130,0,0,February
STMY,IDVincent90,2,50,0,0,February
STMY,Rachel_51MK,6,150,1,137,February
STMY,Gudsel68,12,1200,2,702,February
STMY,RAJAU67,1,150,0,0,February
STMY,isham819,32,2350,2,1089,February
STMY,tetap087YN,1,50,0,0,February
STMY,AHASAN04,22,1635,3,1000,February
STMY,luko96D,2,50,0,0,February
STMY,tiga56,0,0,0,0,February
STMY,jaehem466J,15,320,3,315,February
STMY,curhat25HH,1,30,0,0,February
STMY,ADAM633,1,20,0,0,February
STMY,Sakuragi37,72,7820,24,11121,February
STMY,mania37,15,605,2,250,February
STMY,frank5193,19,590,2,367,February
STMY,ANAK02,93,4423.45,9,6507.85,February
STMY,taehyung74,15,1670,1,300,February
STMY,Edds88,7,350,0,0,February
STMY,BATHMAN45,3,270,0,0,February
STMY,ZAQ52ii,18,1610,1,532,February
STMY,rahman47,8,690,0,0,February
STMY,pedro63,1,20,0,0,February
STMY,aaron7511,19,1330,8,2174,February
STMY,bison08Z,1,30,1,121,February
STMY,VITOLIS54J,9,450,0,0,February
STMY,Intis76,1,40,0,0,February
STMY,ASK2803,0,0,0,0,February
STMY,Shslu5903,9,320,1,300,February
STMY,xusroy319,6,210,0,0,February
STMY,amir383,17,940,1,300,February
STMY,Nani83,2,60,0,0,February
STMY,LOVE4760,2,40,0,0,February
STMY,test486YN,1,20,0,0,February
STMY,joy888,4,430,0,0,February
STMY,abangbaik62J,1,50,0,0,February
STMY,bangjoe3J,6,165,1,159,February
STMY,Kelapa422J,1,50,0,0,February
STMY,YASH88,5,150,1,180,February
STMY,STMY3242,13,325,0,0,February
STMY,bellal82,20,880,2,1050,February
STMY,sentol37HH,14,480,0,0,February
STMY,izzad072W,5,190,0,0,February
STMY,LAIKA87,17,739,0,0,February
STMY,Nazri7740,3,605,0,0,February
STMY,kicaw16MR,0,0,0,0,February
STMY,MIKATO55,1,20,0,0,February
STMY,tehh6466J,1,20,0,0,February
STMY,HUET80,7,610,1,1460,February
STMY,FERYBALI901J,4,450,1,416,February
STMY,AhmadFazli,86,3040,11,2674,February
STMY,hemat26,44,2180.08,3,1192,February
STMY,RIZAL38Z,3,115,0,0,February
STMY,handia76,8,380,0,0,February
STMY,lutut34D,39,1131,8,1050,February
STMY,mesars50,0,0,0,0,February
STMY,Dipendra53,1,100,0,0,February
STMY,RULFAZ59,1,30,0,0,February
STMY,kaiu73,1,100,0,0,February
STMY,stmy9741,3,100,0,0,February
STMY,marmar24,1,50,0,0,February
STMY,melepasHH,2,50,0,0,February
STMY,lakik427,24,495,3,2400,February
STMY,uyup10D,5,200,1,100,February
STMY,irul886,2,100,0,0,February
STMY,Nasir4030,9,800,2,700,February
STMY,hossain90,18,780,4,1402,February
STMY,wave65,4,113,1,250,February
STMY,MALL7357,11,288,2,200,February
STMY,FIVE88,3,150,0,0,February
STMY,nana88,1,30,1,192,February
STMY,jiltam15,10,330,2,444,February
STMY,evidah3J,4,200,0,0,February
STMY,prem61,15,410,2,300,February
STMY,takeme77J,2,150,0,0,February
STMY,season802J,1,30,0,0,February
STMY,japane86HH,1,50,0,0,February
STMY,LEVEL604J,3,180,0,0,February
STMY,Fatt9672,30,2100,6,1739.22,February
STMY,ANGJAK5285,1,30,0,0,February
STMY,bisaya399J,1,30,0,0,February
STMY,abangroy28J,2,50,1,220,February
STMY,pilar39MR,5,210,0,0,February
STMY,AZHARI31,12,600,1,500,February
STMY,ambeven61,9,450,0,0,February
STMY,Aqmal81,13,650,3,350,February
STMY,shoope28Z,3,200,0,0,February
STMY,shella78J,4,180,0,0,February
STMY,KANAY90,15,935,6,940,February
STMY,pirom651,4,200,0,0,February
STMY,ravi8226,5,230,0,0,February
STMY,Tofa92ii,1,50,0,0,February
STMY,kualo82MR,0,0,0,0,February
STMY,Khairi7903,36,1345,1,250,February
STMY,klot291,0,0,0,0,February
STMY,erspo55,3,70,0,0,February
STMY,bell52D,1,30,0,0,February
STMY,Matahari33J,32,1375,0,0,February
STMY,payahkali3,48,1613,4,763,February
STMY,vito93HH,0,0,0,0,February
STMY,aim40D,2,140,1,149,February
STMY,Frankie,48,2440,9,3274,February
STMY,eline51Z,4,140,2,452,February
STMY,tare367YN,1,50,0,0,February
STMY,HARIRAYA192,21,1960,3,955,February
STMY,men81MR,13,380,0,0,February
STMY,Briyan52ii,1,50,0,0,February
STMY,navin95D,3,150,1,300,February
STMY,iter49MR,13,750,0,0,February
STMY,auranya51,2,70,0,0,February
STMY,mgolodae518,6,986,0,0,February
STMY,IMMRAN10,3,90,0,0,February
STMY,riful45Z,2,200,0,0,February
STMY,bukbuk42,3,109,0,0,February
STMY,montolo84,13,718,2,709,February
STMY,Olong899J,3,90,1,110,February
STMY,kelinci79J,2,70,0,0,February
STMY,KAIZO413,4,170,0,0,February
STMY,cupcup423,6,280,1,342,February
STMY,Nagen10,4,145,0,0,February
STMY,sgm22,2,100,1,200,February
STMY,REMY509J,2,80,1,100,February
STMY,BOBYY07,1,20,0,0,February
STMY,reshan86D,3,150,1,800,February
STMY,kifli660Z,1,50,0,0,February
STMY,bensin0851J,1,30,0,0,February
STMY,Black455J,2,150,0,0,February
STMY,kron76MR,6,268,0,0,February
STMY,materi404J,1,30,0,0,February
STMY,es220YN,1,30,0,0,February
STMY,tuku61D,3,310,1,203,February
STMY,Pulok75Mk,14,645,3,1372,February
STMY,PLBTO30,22,660,1,170,February
STMY,akan17HH,1,50,0,0,February
STMY,hajar3J,2,60,0,0,February
STMY,curry543,1,60,0,0,February
STMY,mazur97D,2,200,0,0,February
STMY,luna05D,5,730,0,0,February
STMY,Nes5235,17,1549,1,405,February
STMY,kewat80D,48,2850,14,3002,February
STMY,gajah36MR,1,150,0,0,February
STMY,meong619,33,1225,1,2147,February
STMY,Aizuddin7J,20,1980,1,400,February
STMY,TEMBAK20Z,1,50,0,0,February
STMY,balik09D,4,120.21,0,0,February
STMY,sistercute919J,10,413,3,1361,February
STMY,boddd169,24,1085,2,400,February
STMY,alabama88,24,943,0,0,February
STMY,sayto16D,1,50,0,0,February
STMY,Shatisss8833J,0,0,1,388,February
STMY,arsenal07Z,4,280,0,0,February
STMY,xaid54MR,1,30,1,100,February
STMY,CONDET76,1,50,0,0,February
STMY,senju98D,7,220,0,0,February
STMY,flow79D,15,600,3,885,February
STMY,aiman90D,5,220,2,250,February
STMY,APAYOU22,18,504,2,201,February
STMY,amin92,2,100,0,0,February
STMY,Alvin001ii,5,170,1,150,February
STMY,MEGALAH,1,130,0,0,February
STMY,JUJUH20,9,380,2,760,February
STMY,arilanto73,17,1060,4,410,February
STMY,sudah05,21,2030,1,700,February
STMY,hujan802J,1,30,0,0,February
STMY,abangmanis3J,1,20,0,0,February
STMY,DESATO30,1,60,0,0,February
STMY,ibibnuuu41,11,740,1,230,February
STMY,umi99,1,40,0,0,February
STMY,Jeyannthi4,21,490,4,469,February
STMY,kiddinh93Z,1,30,0,0,February
STMY,okay402,1,20,0,0,February
STMY,temanii44J,5,455,1,300,February
STMY,Bigbroo422J,11,661,1,307,February
STMY,Fakhrul3J,9,239,1,100,February
STMY,Pijit26,2,70,0,0,February
STMY,Germany6z,1,50,0,0,February
STMY,snap048YN,1,30,0,0,February
STMY,pley965YN,1,20,0,0,February
STMY,morsalina,4,400,0,0,February
STMY,Firdaus_12Mk,1,30,0,0,February
STMY,boyyee21j,7,310,3,400,February
STMY,Farhan_68MK,2,100,1,330,February
STMY,blsdendam,1,150,0,0,February
STMY,abahmlay24,4,149,0,0,February
STMY,efume949Z,1,30,0,0,February
STMY,kecee07HH,6,270,1,150,February
STMY,meni50HH,3,80,0,0,February
STMY,yambe097V,1,30,0,0,February
STMY,broo30HH,1,50,0,0,February
STMY,JBLTO40,3,260,0,0,February
STMY,NATH2330,2,40,0,0,February
STMY,deliva49HH,1,50,0,0,February
STMY,Chhabi_47Mk,8,260,1,108,February
STMY,mayway97HH,1,30,0,0,February
STMY,SAKINAH68,5,290,0,0,February
STMY,ricoz96J,1,50,0,0,February
STMY,asistra18,8,253,1,343,February
STMY,Azriq_27MK,1,32.98,0,0,February
STMY,AKUITO49,2,60,0,0,February
STMY,hip895YN,1,35,1,200,February
STMY,JAYA888,18,530,9,900,February
STMY,SPGTO76,7,170,0,0,February
STMY,engkau58HH,3,110,0,0,February
STMY,thats,6,560,2,460,February
STMY,RUKUZARIMAH04,2,130,0,0,February
STMY,Maung788J,3,150,0,0,February
STMY,bocoy75,4,80,0,0,February
STMY,abangwan888,4,160,0,0,February
STMY,mongol31J,1,50,0,0,February
STMY,RIMURU52,25,957,3,800,February
STMY,MANTO46,1,20,0,0,February
STMY,alif528,5,220,1,130,February
STMY,Husen9642,2,300,0,0,February
STMY,SURYA708,2,60,0,0,February
STMY,selain95HH,1,30,0,0,February
STMY,masa_08MK,1,50,0,0,February
STMY,etr54MR,8,170,1,170,February
STMY,moktar11,1,70,0,0,February
STMY,Molla2040,11,1177,3,1128,February
STMY,huyu51HH,4,890,0,0,February
STMY,Palasari50,1,150,0,0,February
STMY,uncle99D,2,100,0,0,February
STMY,who640YN,1,30,0,0,February
STMY,ELAN56,3,80,0,0,February
STMY,lewat48D,2,200,0,0,February
STMY,clue45,1,50,0,0,February
STMY,Nope42,1,300,0,0,February
STMY,CBGTO89,2,84,0,0,February
STMY,berpun35HH,1,30,0,0,February
STMY,lulo05D,4,197.5,2,250,February
STMY,Raam_37MK,4,180,1,100,February
STMY,BMJTO09,1,30,0,0,February
STMY,taraart62,9,438,0,0,February
STMY,saifu46MR,4,120,0,0,February
STMY,DreamKing26Mk,2,110,0,0,February
STMY,afour502V,1,50,0,0,February
STMY,AGTO18,14,570,4,804,February
STMY,amir39to,7,400,2,687,February
STMY,nyam72D,5,210,0,0,February
STMY,kapal615V,1,25,0,0,February
STMY,asromaHH,18,702,6,1107,February
STMY,oiii92,1,30,0,0,February
STMY,jilap28,1,55,1,150,February
STMY,todakML42,4,90,0,0,February
STMY,Viikii,3,60,0,0,February
STMY,lama888,25,2200,5,1600,February
STMY,HAIKAL33j,2,65,0,0,February
STMY,dodge61HH,1,30,0,0,February
STMY,spin003YN,54,2037,14,2155,February
STMY,kakng82HH,1,20,0,0,February
STMY,jack09to,6,360,1,300,February
STMY,some54D,0,0,0,0,February
STMY,kissme74,1,50,0,0,February
STMY,YBAYAP23HH,4,330,1,1079,February
STMY,Yong_39MK,1,50,0,0,February
STMY,bisu26HH,1,50,0,0,February
STMY,civic17HH,1,30,0,0,February
STMY,oraa62,4,131,1,300,February
STMY,Khairol,1,30,0,0,February
STMY,Hisyam,1,30,0,0,February
STMY,risma3J,2,60,1,109,February
STMY,Note_34MK,4,80,1,102,February
STMY,Nabil_83MK,1,20,1,102,February
STMY,WARTEG83,17,1605,0,0,February
STMY,AKHIR52,3,130,0,0,February
STMY,AMIRUUL2,2,200,0,0,February
STMY,lawak422J,3,60,0,0,February
STMY,haz888,6,330,1,200,February
STMY,Alif90ii,2,80,0,0,February
STMY,RIFATO68,5,120,0,0,February
STMY,NICK866J,1,50,0,0,February
STMY,tinggang755J,1,30,0,0,February
STMY,IDVijayan34,1,35,0,0,February
STMY,udin701Z,2,185,1,200,February
STMY,leen23MR,1,30,0,0,February
STMY,hudy45D,7,205,3,455,February
STMY,Kumar_82MK,1,20,0,0,February
STMY,kifri91Z,32,770,1,200,February
STMY,ucingHH,1,100,1,200,February
STMY,Ready24,4,90,0,0,February
STMY,Shamkiller,1,20,0,0,February
STMY,manisnya3J,1,30,0,0,February
STMY,elin08HH,1,50,0,0,February
STMY,tuk99Z,18,930,6,996,February
STMY,cobra76,1,50,0,0,February
STMY,mamang01D,2,80,1,241,February
STMY,futurehusb33J,1,50,0,0,February
STMY,brpisah68HH,2,100,1,400,February
STMY,you08,1,100,0,0,February
STMY,duakali20D,2,380,0,0,February
STMY,Mareng160,2,40,0,0,February
STMY,burhan13D,3,300,0,0,February
STMY,fash32D,2,200,1,600,February
STMY,kepo86,3,400,0,0,February
STMY,BNGTO92,1,20,0,0,February
STMY,BIDDY10HH,1,35,0,0,February
STMY,Formula42,1,60,0,0,February
STMY,wewe39ii,1,30,0,0,February
STMY,berbet87HH,1,20,0,0,February
STMY,bdg101YN,1,30,0,0,February
STMY,helogoddby11,23,519,1,388,February
STMY,terbaru77HH,2,75,0,0,February
STMY,SITED86,2,100,0,0,February
STMY,ABDULAMIN04,3,150,0,0,February
STMY,YANATO67,7,955,0,0,February
STMY,matu36Z,1,50,0,0,February
STMY,mising05HH,3,95,0,0,February
STMY,BSTO77,2,100,0,0,February
STMY,jagung82,1,30,0,0,February
STMY,Cisalak14,1,20,0,0,February
STMY,IYADEH303,5,240,0,0,February
STMY,LARRAS22,2,80,0,0,February
STMY,Akim07ii,3,90,1,100,February
STMY,kiwi23to,3,130,2,240,February
STMY,marciu10HH,1,40,0,0,February
STMY,malabar513YN,1,50,0,0,February
STMY,leklek28HH,1,30,0,0,February
STMY,AZRAF62,3,80,0,0,February
STMY,hiya25,0,0,0,0,February
STMY,Aimie56AZ,1,70,0,0,February
STMY,PILUTO34,5,700,1,533,February
STMY,margahayu034,2,50,0,0,February
STMY,tongkol28HH,2,110,0,0,February
STMY,ketawa710Z,2,65,0,0,February
STMY,Nadzrul60,4,160,0,0,February
STMY,haiii337J,5,315,2,900,February
STMY,ezana20,1,30,0,0,February
STMY,VBFTO76,3,140,1,1052,February
STMY,karthii258j,2,40,0,0,February
STMY,niku32HH,1,50,0,0,February
STMY,duaal94D,2,200,1,550,February
STMY,kuris41,3,120,0,0,February
STMY,cikudapateuh408,9,192,4,500,February
STMY,raais90HH,1,30,0,0,February
STMY,BERITA01HH,4,250,1,100,February
STMY,NAJI68,5,180,2,227,February
STMY,toba86HH,1,30,0,0,February
STMY,sarbi18D,1,50,0,0,February
STMY,bajbiru80,1,50,0,0,February
